DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPLT 1,,,,,,,,,,PPLT 2,,,,,,,,,,PPLT 3,,,,,,,,,
,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,
,7333,7344,2,"349, 679","350, 680",2096,2096,B,E,,,,,,,,,,,,8179,8204,6,"1260, 840","1257, 842",2334,2334,T,T,
,7319,7363,7,"326, 678","332, 683",2096,2096,B,T,,,,,,,,,,,,8192,8204,2,"1256, 841","1257, 842",2334,2334,B,T,
,7363,7364,5,"332, 683","336, 683",2096,2096,T,T,,,PPLT 1,PPLT 2,PPLT 3,AVG & SD,,,,,,8167,8215,5,"1244, 839","1242, 843",2334,2334,B,B,
,7333,7365,8,"349, 679","342, 683",2096,2096,B,B,,,53.28571429,39.875,65,52.7202381,,,,,,8214,8215,4,"1239, 843","1242, 843",2334,2334,E,B,
,7364,7365,7,"336, 683","342, 683",2096,2096,T,B,,,,,,12.57204155,,,,,,8215,8237,4,"1242, 843","1245, 845",2334,2334,B,B,
,7365,7431,11,"342, 683","350, 691",2096,2096,B,E,,,373,319,780,,,,,,,8227,8237,2,"1246, 844","1245, 845",2334,2334,E,B,
,,,,,,,,,,53,,,,,,,,,,,8204,8246,5,"1257, 842","1258, 846",2334,2334,T,E,
,,,,,,,,,,,,,,,,,,,,,8237,8252,3,"1245, 845","1247, 847",2334,2334,B,B,
,,,,,,,,,,,,,,,,,,,,,8252,8267,2,"1247, 847","1246, 848",2334,2334,B,E,
,,,,,,,,,,,,,,,,,,,,,8252,8268,2,"1247, 847","1248, 848",2334,2334,B,B,
,,,,,,,,,,,,,,,,,,,,,8268,8302,10,"1248, 848","1257, 851",2334,2334,B,B,
,,,,,,,,,,,,,,,,,,,,,8302,8303,20,"1257, 851","1276, 851",2334,2393,B,B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
,,,,,,,,,,,,,,,,,,,,,8288,8303,2,"1277, 850","1276, 851",2393,2393,E,B,
,,,,,,,,,,,,,,,,,,,,,8239,8378,20,"1298, 845","1285, 862",2393,2393,E,B,
,,,,,,,,,,,,,,,,,,,,,8378,8384,2,"1285, 862","1286, 863",2393,2393,B,E,
,,,,,,,,,,,,,,,,,,,,,8303,8391,14,"1276, 851","1282, 864",2393,2393,B,B,
,,,,,,,,,,,,,,,,,,,,,8378,8404,4,"1285, 862","1283, 865",2393,2393,B,B,
,,,,,,,,,,,,,,,,,,,,,8391,8404,2,"1282, 864","1283, 865",2393,2393,B,B,
,,,,,,,,,,,,,,,,,,,,,8404,8435,5,"1283, 865","1285, 869",2393,2393,B,E,
,,,,,,,,,,,,,,,,,,,,,8391,8494,18,"1282, 864","1274, 876",2393,2393,B,B,
,,,,,,,,,,,,,,,,,,,,,8493,8494,2,"1273, 876","1274, 876",2393,2393,E,B,
,,,,,,,,,,,,,,,,,,,,,8494,8517,3,"1274, 876","1274, 878",2393,2393,B,T,
,,,,,,,,,,,,,,,,,,,,,8517,8525,2,"1274, 878","1273, 879",2393,2393,T,T,
,,,,,,,,,,,,,,,,,,,,,8517,8526,2,"1274, 878","1275, 879",2393,2393,T,E,
,,,,,,,,,,,,,,,,,,,,,8516,8537,3,"1269, 878","1271, 880",2393,2393,E,T,
,,,,,,,,,,,,,,,,,,,,,8525,8537,3,"1273, 879","1271, 880",2393,2393,T,T,
,,,,,,,,,,,,,,,,,,,,,8525,8548,3,"1273, 879","1272, 881",2393,2393,T,T,
,,,,,,,,,,,,,,,,,,,,,8537,8548,2,"1271, 880","1272, 881",2393,2393,T,T,
,,,,,,,,,,,,,,,,,,,,,8548,8576,4,"1272, 881","1275, 883",2393,2393,T,E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,,,,,,8476,8476,6,"1267, 874","1267, 874",2379,2379,T,T,
,,,,,,,,,,,,,,,,,,,,,8328,8482,23,"1258, 854","1266, 875",2379,2379,E,T,
